Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,0.4912430221484744,0.5770241672794024,0.6279648521211412,0.8312996908127208,0.7951505016722408,0.7842809364548495
2,0.4656250877544455,0.5449454471137789,0.5738801755507787,0.8382287985865724,0.8113154960981048,0.8149386845039019
3,0.44509188854876025,0.5271697152157625,0.5758780440108644,0.846151722614841,0.8193979933110368,0.8060200668896321
4,0.42086347969999216,0.5535712560845746,0.5670133513543341,0.8567248233215548,0.8118729096989966,0.8040691192865106
5,0.39503506267716443,0.49816246231396993,0.5388770834108194,0.8658071996466431,0.8338907469342252,0.8096432552954292
6,0.36436424061307165,0.4884796914458275,0.5434013388554255,0.8774845406360424,0.8397435897435898,0.8219063545150501
7,0.34547246499653483,0.5251708395034075,0.5272745182903277,0.8810733215547704,0.8258082497212932,0.8232998885172799
8,0.32136809222800033,0.5274182112804717,0.5790515462391906,0.8899072438162544,0.8168896321070234,0.8127090301003345
9,0.31130298632180625,0.4588711563580566,0.4894431938810481,0.8942965989399293,0.8464325529542921,0.8442028985507246
10,0.29215821284017535,0.44489896134369905,0.4818503388596906,0.9005079505300353,0.8559085841694537,0.846989966555184
11,0.2727442246934978,0.4465709540579054,0.5110775838957893,0.9081824204946997,0.8478260869565217,0.8369565217391305
12,0.25996413873056073,0.5332783913364013,0.5396036490425468,0.9130134717314488,0.8283166109253066,0.8260869565217391
13,0.2521773011579142,0.45173516609602504,0.45897915547092755,0.9159397084805654,0.8545150501672241,0.8553511705685619
14,0.22905693976303182,0.46555342739654915,0.542696792350875,0.9227307862190812,0.8475473801560758,0.8408584169453734
15,0.22115196043190666,0.42594742205045705,0.47658070219887627,0.927672261484099,0.8653846153846154,0.8553511705685619
16,0.20208519472647624,0.4579984388666021,0.47052271810256774,0.9331382508833922,0.8561872909698997,0.8553511705685619
17,0.19987776372102484,0.42151822454399535,0.45403335357705754,0.9338560070671378,0.8664994425863991,0.8586956521739131
18,0.18391280324585396,0.4212279985762305,0.4602359604830336,0.9379969081272085,0.867335562987737,0.8659420289855072
19,0.17826194511771748,0.41932048003189265,0.44110564216143555,0.9416409010600707,0.8676142697881828,0.8687290969899666
20,0.16250365656418414,0.48878586235145727,0.5033635956545671,0.9462234982332155,0.8531215161649944,0.8536789297658863
21,0.16187248976278784,0.41980981306069426,0.45407170807321867,0.9464719522968198,0.8779264214046822,0.8684503901895206
22,0.1532997332549378,0.40127562158223656,0.4399941710051563,0.9489564929328622,0.8784838350055741,0.8659420289855072
23,0.14799485229322473,0.3701669452504979,0.4395451698038313,0.951523851590106,0.8807134894091416,0.8695652173913043
24,0.145283140963268,0.414411093050407,0.47540177878406314,0.9520207597173145,0.8793199554069119,0.8659420289855072
25,0.1283562686326712,0.4256260286395748,0.4390017563187414,0.9582873233215548,0.8793199554069119,0.8729096989966555
26,0.12707513813419427,0.47162832451363407,0.47163089711632994,0.9587842314487632,0.8734671125975474,0.8662207357859532
27,0.12139642582522922,0.3926819004780716,0.4282638147250853,0.9604681978798587,0.8876811594202898,0.8818283166109253
28,0.11794880241624166,0.4320185324922204,0.44562285982382793,0.9621245583038869,0.8745819397993311,0.8720735785953178
29,0.11924958540452789,0.3802351690564926,0.4115362898819149,0.9597780477031802,0.8835005574136009,0.8801560758082497
30,0.10777265810922518,0.39695251339943044,0.4324218219322049,0.9646643109540636,0.8848940914158305,0.8765328874024526
31,0.10318444179744413,0.43580307345423436,0.4486475358116958,0.9655753091872792,0.8704013377926422,0.8759754738015607
32,0.10909035158769989,0.3915438533698519,0.43623582138886885,0.9635876766784452,0.8857302118171684,0.8801560758082497
33,0.09469325378552707,0.3846546315225876,0.4178588233262093,0.9696057862190812,0.8901895206243032,0.8812709030100334
34,0.09418177435463,0.4035748423801528,0.4652587289135489,0.969771422261484,0.8882385730211817,0.8731884057971014
35,0.08934067434845659,0.40902609915446697,0.4159911862988439,0.970958480565371,0.8910256410256411,0.8913043478260869
36,0.09285269461717895,0.3657032325424047,0.3806189600761152,0.9691088780918727,0.89520624303233,0.8910256410256411
37,0.08586504717643147,0.4575082086875207,0.4397443515740128,0.9710965106007067,0.882664437012263,0.8907469342251951
38,0.08546869363424313,0.43797849704666686,0.4715143704517848,0.9710412985865724,0.883221850613155,0.8768115942028986
39,0.08033524974983558,0.4117331024988865,0.41612916727860766,0.972946113074205,0.8840579710144928,0.8868450390189521
40,0.08350913261550912,0.42423908557018475,0.4202532163135604,0.972366386925795,0.8876811594202898,0.8899108138238573
41,0.0754228278892054,0.3868686833258511,0.39754108105889624,0.9757067137809188,0.9013377926421404,0.8985507246376812
42,0.07613103716328161,0.5302726319051968,0.48187830444994484,0.9746576855123675,0.867335562987737,0.8773690078037905
43,0.07144565319655229,0.42093025957796876,0.4365502656834401,0.9772250441696113,0.8901895206243032,0.8910256410256411
44,0.077254705299018,0.41668099189384117,0.4250314451588525,0.9749889575971732,0.8885172798216276,0.8876811594202898
45,0.06764924727945024,0.42920771058364254,0.45922235402770134,0.9770041961130742,0.882943143812709,0.8798773690078038
46,0.06931934137738148,0.4247262787912041,0.45279100820836093,0.9776667402826855,0.8843366778149386,0.8840579710144928
47,0.0707271208055176,0.3792468388388968,0.40254576413271326,0.9759275618374559,0.8943701226309922,0.89520624303233
48,0.06628279964794859,0.3919262523730544,0.42952800497826604,0.977970406360424,0.8963210702341137,0.9007803790412486
49,0.0634573118302639,0.4367898867165463,0.38904547679289764,0.9794887367491166,0.882943143812709,0.9002229654403567
